Shape_Leng;Shape_Area;ADM2_EN;ADM2_PCODE;DATA
0.83205377827;0.01374983166;Kota Bandung;ID3273;434
0.41713662083;0.00325361665;Kota Cirebon;ID3274;265
1.19442482483;0.01749526535;Kota Bekasi;ID3275;759
1.05992476399;0.01632534152;Kota Depok;ID3276;536
0.38696074963;0.00336630769;Kota Cimahi;ID3277;615
0.85514460034;0.01506296872;Kota Tasikmalaya;ID3278;180
0.73720635866;0.01068621426;Kota Banjar;ID3279;369
1.54249347272;0.00469334847;Waduk Cirata;ID3288;245
3.54614238846;0.19212087999;Cilacap;ID3301;
2.13128994311;0.11384821915;Banyumas;ID3302;
1.53505407961;0.06616743724;Purbalingga;ID3303;
2.32623768380;0.09411434646;Banjarnegara;ID3304;
1.98711015213;0.10905342169;Kebumen;ID3305;
1.62356311982;0.08932018401;Purworejo;ID3306;
1.82851830466;0.08140504461;Wonosobo;ID3307;
1.94268539114;0.09267352548;Magelang;ID3308;
3.64673487119;0.08909237216;Boyolali;ID3309;
1.60399407172;0.05747542531;Klaten;ID3310;
1.60092445648;0.04045002541;Sukoharjo;ID3311;
2.71840186238;0.15767077743;Wonogiri;ID3312;
1.96211118884;0.06586599905;Karanganyar;ID3313;
2.90260241518;0.08008267608;Sragen;ID3314;
3.31190045295;0.16618815312;Grobogan;ID3315;
2.58000988868;0.15950207644;Blora;ID3316;
1.79847511084;0.08501346406;Rembang;ID3317;
2.56847740717;0.12935664244;Pati;ID3318;
1.42175752178;0.03562589132;Kudus;ID3319;
2.99623887148;0.08363784619;Jepara;ID3320;
2.34454136092;0.08201823056;Demak;ID3321;
2.96708927334;0.08220340516;Semarang;ID3322;
1.59677041585;0.07147016832;Temanggung;ID3323;
2.36455250227;0.08195980178;Kendal;ID3324;
1.56036098888;0.07032023629;Batang;ID3325;
1.71158674139;0.07305611446;Pekalongan;ID3326;
2.13236028138;0.09308208292;Pemalang;ID3327;
2.09112090231;0.08140765445;Tegal;ID3328;
3.05717846042;0.14358730026;Brebes;ID3329;
0.24842338146;0.00146417835;Kota Magelang;ID3371;
0.35686037750;0.00379077679;Kota Surakarta;ID3372;
0.40296723772;0.00434726581;Kota Salatiga;ID3373;
1.23719384501;0.03156296071;Kota Semarang;ID3374;
0.37656011259;0.00373362305;Kota Pekalongan;ID3375;
0.27784047991;0.00318546342;Kota Tegal;ID3376;
1.95083427818;0.00243480538;Wadung Kedungombo;ID3388;
0.33255934950;0.00154930894;Hutan;ID3399;
1.27554652728;0.04713886892;Kulon Progo;ID3401;
1.83207633426;0.04228118495;Bantul;ID3402;
2.39365287763;0.12091244792;Gunung Kidul;ID3403;
1.53096960043;0.04709967034;Sleman;ID3404;
0.34137774438;0.00269757937;Kota Yogyakarta;ID3471;
2.60923420930;0.11638753087;Pacitan;ID3501;
2.16812422622;0.11617023808;Ponorogo;ID3502;
3.16346036486;0.10240500804;Trenggalek;ID3503;
2.31353112832;0.09437949757;Tulungagung;ID3504;
2.79428982563;0.14390791400;Blitar;ID3505;
2.68254250428;0.12486189606;Kediri;ID3506;
5.25006006571;0.28361005217;Malang;ID3507;
2.01334201247;0.14852991166;Lumajang;ID3508;
4.25472249216;0.27134318917;Jember;ID3509;
4.15692089840;0.29577665475;Banyuwangi;ID3510;
2.20972938722;0.12755730027;Bondowoso;ID3511;
3.16255806538;0.13592983662;Situbondo;ID3512;
2.98160069913;0.14147203503;Probolinggo;ID3513;
2.02969688226;0.12222761251;Pasuruan;ID3514;
1.41153208754;0.05947810497;Sidoarjo;ID3515;
2.00803348968;0.07981067248;Mojokerto;ID3516;
1.97431763844;0.09180589449;Jombang;ID3517;
2.05507817377;0.10572456600;Nganjuk;ID3518;
2.22026298280;0.09157499753;Madiun;ID3519;
1.41012018874;0.05752822061;Magetan;ID3520;
2.17253158040;0.11412627331;Ngawi;ID3521;
3.21540304694;0.18946116675;Bojonegoro;ID3522;
2.48665324228;0.16179435786;Tuban;ID3523;
2.72905996749;0.14336703463;Lamongan;ID3524;
3.66027198589;0.10251457814;Gresik;ID3525;
1.90270296471;0.10666672039;Bangkalan;ID3526;
2.10581708911;0.10036034643;Sampang;ID3527;
1.54870372272;0.06531988200;Pamekasan;ID3528;
10.17949829830;0.17101144193;Sumenep;ID3529;
0.47664067985;0.00567152854;Kota Kediri;ID3571;
0.34251081206;0.00273736111;Kota Blitar;ID3572;
0.69291388597;0.00901742873;Kota Malang;ID3573;
0.49409741859;0.00450342622;Kota Probolinggo;ID3574;
0.35065720187;0.00319034919;Kota Pasuruan;ID3575;
0.24254326914;0.00165557510;Kota Mojokerto;ID3576;
0.35747068020;0.00283738931;Kota Madiun;ID3577;
1.11883765473;0.02750878279;Kota Surabaya;ID3578;
0.69817690811;0.01609522240;Kota Batu;ID3579;
5.76952512593;0.22734180599;Pandeglang;ID3601;
3.34692007551;0.27051171663;Lebak;ID3602;
2.28850283636;0.08387755692;Tangerang;ID3603;
4.31717423465;0.11986253599;Serang;ID3604;
0.83486736296;0.01482651364;Kota Tangerang;ID3671;
0.98095735584;0.01341826166;Kota Cilegon;ID3672;
0.94531392224;0.02163802096;Kota Serang;ID3673;
0.67872835795;0.01343474105;Kota Tangerang Selatan;ID3674;
1.66981969118;0.07005218887;Jembrana;ID5101;
1.58367943447;0.07073615199;Tabanan;ID5102;
2.33700320104;0.03244138563;Badung;ID5103;
1.11199728265;0.03001238752;Gianyar;ID5104;
1.67050970549;0.02572397451;Klungkung;ID5105;
1.49155919189;0.04295169439;Bangli;ID5106;
1.52181942305;0.06895552722;Karang Asem;ID5107;
3.29445253439;0.10751961212;Buleleng;ID5108;
0.79897468047;0.01032410360;Kota Denpasar;ID5171;
3.68458651927;0.07587504395;Lombok Barat;ID5201;
2.41396068196;0.09584451554;Lombok Tengah;ID5202;
3.48322496897;0.13194999402;Lombok Timur;ID5203;
9.38349413490;0.54609096577;Sumbawa;ID5204;
4.38001383230;0.18734147983;Dompu;ID5205;
9.15492382867;0.34560711035;Bima;ID5206;
2.66603416662;0.14408539719;Sumbawa Barat;ID5207;
1.61507803183;0.06664812255;Lombok Utara;ID5208;
0.36845223084;0.00494493554;Kota Mataram;ID5271;
0.83758481158;0.01732510690;Kota Bima;ID5272;
1.96867232837;0.05849023866;Sumba Barat;ID5301;
4.80442525896;0.57584551613;Sumba Timur;ID5302;
5.98705855412;0.42128371691;Kupang;ID5303;
3.22289793618;0.32589264689;Timor Tengah Selatan;ID5304;
